Dates,Gold Price,CPI Index,Real Price of Gold,Gold ETF Market Cap,10 Year Gold Return,10 Year Inflation Rate,10 Year Real Price of Gold Return,10 Year Ago Real Price of Gold
2/28/2006,563.9,199.4,2.827983952,6.837517,3.46%,2.55%,0.89%,2.588387097
3/31/2006,586.7,199.7,2.93790686,7.197173,3.95%,2.53%,1.38%,2.562057878
4/28/2006,654.5,200.7,3.261086198,8.365198,5.22%,2.54%,2.61%,2.520819987
5/31/2006,649,201.3,3.224043716,8.14397,5.11%,2.56%,2.49%,2.52173913
6/30/2006,616,201.8,3.052527255,8.180329,4.91%,2.56%,2.29%,2.435226548
7/31/2006,646.8,202.9,3.18777723,8.723756,5.11%,2.60%,2.44%,2.503821656
8/31/2006,634.2,203.8,3.111874387,8.773964,4.95%,2.63%,2.26%,2.489185751
9/29/2006,604.2,202.8,2.979289941,8.270004,4.73%,2.55%,2.13%,2.412809131
10/31/2006,606.8,201.9,3.005448242,8.411008,4.82%,2.47%,2.29%,2.396333755
11/30/2006,652.9,202,3.232178218,10.099985,5.70%,2.44%,3.18%,2.36294896
12/29/2006,638,203.1,3.1413097,10.19635,5.62%,2.47%,3.07%,2.320553111
1/31/2007,657.9,203.437,3.233924999,10.447637,6.64%,2.47%,4.07%,2.1706399
2/28/2007,672.5,204.226,3.292920588,11.332349,6.30%,2.49%,3.72%,2.286161553
3/30/2007,669,205.288,3.258836366,11.275735,6.57%,2.54%,3.94%,2.215269086
4/30/2007,683.5,205.904,3.31950812,11.7155,7.19%,2.56%,4.52%,2.133833646
5/31/2007,666.7,206.755,3.22458949,10.939371,6.73%,2.60%,4.02%,2.173233271
6/29/2007,650.9,207.234,3.140893869,10.651629,6.86%,2.61%,4.14%,2.093008739
7/31/2007,679.3,207.603,3.272110711,11.607141,7.53%,2.61%,4.79%,2.048628429
8/31/2007,681.9,207.667,3.283622338,12.16496,7.61%,2.59%,4.90%,2.036069652
9/28/2007,750,208.547,3.596311623,15.00899,8.33%,2.61%,5.58%,2.089950372
10/31/2007,795.3,209.19,3.80180697,16.6121,9.81%,2.62%,7.00%,1.93250774
11/30/2007,789.1,210.834,3.742754964,16.49532,10.21%,2.69%,7.32%,1.846629561
12/31/2007,838,211.445,3.963205562,18.32658,11.20%,2.71%,8.26%,1.791718171
1/31/2008,928,212.174,4.373768699,20.5578,11.78%,2.73%,8.81%,1.880246914
2/29/2008,975,212.687,4.584201197,21.90372,12.51%,2.76%,9.48%,1.852469136
3/31/2008,921.5,213.448,4.317210749,20.79517,11.75%,2.80%,8.71%,1.872222222
4/30/2008,865.1,213.942,4.043619299,18.15422,10.88%,2.81%,7.86%,1.898273736
5/30/2008,891.5,215.208,4.142503996,18.78033,11.69%,2.84%,8.60%,1.814883149
6/30/2008,928.3,217.463,4.268772159,21.01404,12.03%,2.94%,8.83%,1.831081081
7/31/2008,922.7,219.016,4.212934215,21.57949,12.25%,2.99%,9.00%,1.78002451
8/29/2008,835.2,218.69,3.819104669,18.95362,11.59%,2.96%,8.39%,1.706854345
9/30/2008,880.8,218.877,4.024177963,22.73903,11.41%,2.96%,8.21%,1.828746177
10/31/2008,718.2,216.995,3.309753681,18.95656,9.35%,2.85%,6.33%,1.791946309
11/28/2008,819,213.153,3.842310453,21.60006,10.75%,2.65%,7.89%,1.798293723
12/31/2008,884.3,211.398,4.183104854,23.94309,11.83%,2.55%,9.05%,1.759124088
1/30/2009,928.4,211.933,4.380629727,27.22523,12.41%,2.55%,9.61%,1.749848209
2/27/2009,942.5,212.705,4.431019487,33.22242,12.58%,2.59%,9.73%,1.750455373
3/31/2009,925,212.495,4.353043601,35.28834,12.62%,2.57%,9.79%,1.710558252
4/30/2009,891.2,212.709,4.189761599,33.48265,11.97%,2.52%,9.22%,1.734779988
5/29/2009,980.3,213.022,4.601872107,37.4188,13.68%,2.53%,10.88%,1.638554217
6/30/2009,927.4,214.79,4.317705666,35.55724,13.40%,2.61%,10.52%,1.587951807
7/31/2009,955.8,214.726,4.451254156,35.00517,13.96%,2.56%,11.11%,1.552489502
8/31/2009,953.5,215.445,4.425723503,34.73197,14.00%,2.57%,11.14%,1.539796529
9/30/2009,1009.3,215.861,4.675694081,37.89614,12.92%,2.55%,10.11%,1.784862932
10/30/2009,1040.4,216.509,4.805342965,39.76992,13.23%,2.56%,10.40%,1.786436645
11/30/2009,1182.3,217.234,5.442518206,45.94643,14.97%,2.58%,12.08%,1.739904988
12/31/2009,1096.2,217.347,5.043547875,42.68952,14.24%,2.56%,11.39%,1.71563981
1/29/2010,1083.8,217.488,4.983263444,41.41072,14.24%,2.54%,11.42%,1.690490254
2/26/2010,1118.9,217.281,5.149552883,42.50882,14.29%,2.48%,11.52%,1.730588235
3/31/2010,1114.5,217.353,5.127603484,43.16261,14.76%,2.43%,12.04%,1.645614035
4/30/2010,1180.7,217.403,5.430927816,46.88384,15.70%,2.44%,12.95%,1.607372733
5/31/2010,1215,217.29,5.591605688,52.80121,16.03%,2.41%,13.29%,1.605140187
6/30/2010,1245.9,217.199,5.736214255,56.22955,15.63%,2.35%,12.98%,1.692799071
7/30/2010,1183.9,217.605,5.440591898,52.13024,15.38%,2.34%,12.74%,1.639837869
8/31/2010,1250.3,217.923,5.737347595,56.11726,16.05%,2.35%,13.39%,1.633468442
9/30/2010,1309.6,218.275,5.999770931,59.0942,16.81%,2.32%,14.17%,1.595046083
10/29/2010,1357.6,219.035,6.198096195,60.9118,17.69%,2.33%,15.00%,1.531914894
11/30/2010,1386.1,219.59,6.312218225,62.13844,17.63%,2.34%,14.94%,1.568886338
12/31/2010,1421.4,220.472,6.44707718,63.87681,17.91%,2.36%,15.19%,1.567010309
1/31/2011,1334.5,221.187,6.033356391,57.2376,17.41%,2.33%,14.73%,1.5261959
2/28/2011,1409.9,221.898,6.353820224,60.30411,18.07%,2.34%,15.36%,1.521590909
3/31/2011,1439.9,223.046,6.45561902,61.61114,18.71%,2.39%,15.93%,1.471890971
4/29/2011,1556.4,224.093,6.945330733,68.53617,19.39%,2.42%,16.57%,1.498866213
5/31/2011,1536.8,224.806,6.836116474,66.55676,19.13%,2.40%,16.34%,1.50535815
6/30/2011,1502.8,224.806,6.684874959,65.15073,18.67%,2.38%,15.91%,1.526730445
7/29/2011,1631.2,225.395,7.237072695,74.19265,19.74%,2.42%,16.91%,1.517474634
8/31/2011,1831.7,226.106,8.101067641,82.0975,20.81%,2.46%,17.92%,1.558624577
9/30/2011,1622.3,226.597,7.159406347,72.83829,18.63%,2.44%,15.80%,1.650758001
10/31/2011,1725.2,226.75,7.608379272,77.88295,19.92%,2.47%,17.03%,1.579391892
11/30/2011,1750.3,227.169,7.704836487,82.64852,20.34%,2.50%,17.40%,1.548732394
12/30/2011,1566.8,227.223,6.89542872,71.61774,18.83%,2.51%,15.93%,1.572717024
1/31/2012,1740.4,227.842,7.638626768,81.06883,19.92%,2.52%,16.98%,1.592009004
2/29/2012,1711.3,228.329,7.494886764,80.1654,19.14%,2.52%,16.21%,1.669101124
3/30/2012,1671.9,228.807,7.30703169,78.71874,18.60%,2.51%,15.69%,1.70140056
4/30/2012,1664.2,229.187,7.261319359,78.13932,18.33%,2.49%,15.46%,1.724484105
5/31/2012,1564.2,228.713,6.839139008,72.61525,16.93%,2.45%,14.13%,1.824512535
6/29/2012,1604.2,228.524,7.019831615,75.06582,17.72%,2.44%,14.92%,1.747772829
7/31/2012,1614.6,228.59,7.063301107,74.40462,18.13%,2.42%,15.34%,1.695555556
8/31/2012,1687.6,229.918,7.340008177,80.4909,18.32%,2.45%,15.49%,1.739058172
9/28/2012,1773.9,231.015,7.678722161,86.7396,18.49%,2.48%,15.62%,1.798672566
10/31/2012,1719.1,231.638,7.421493883,85.5412,18.37%,2.49%,15.50%,1.757174393
11/30/2012,1712.7,231.249,7.406302298,86.1594,18.35%,2.45%,15.51%,1.750964187
12/31/2012,1675.8,231.221,7.247611592,84.3474,17.01%,2.43%,14.23%,1.915291529
1/31/2013,1662,231.679,7.173718809,82.8894,16.24%,2.41%,13.50%,2.02135816
2/28/2013,1578.1,232.937,6.774793184,74.6471,16.24%,2.41%,13.51%,1.90795207
3/29/2013,1595.7,232.282,6.869667043,73.5573,16.83%,2.36%,14.13%,1.831973899
4/30/2013,1472.1,231.797,6.350815584,60.4511,15.80%,2.38%,13.11%,1.852620087
5/31/2013,1393,231.893,6.007080852,53.44142,14.31%,2.40%,11.63%,1.998906506
6/28/2013,1223.7,232.445,5.264471165,45.50458,13.45%,2.41%,10.78%,1.891316221
7/31/2013,1313,232.9,5.637612709,47.08818,13.95%,2.40%,11.28%,1.936853566
8/30/2013,1396.1,233.456,5.980141868,49.24302,13.99%,2.38%,11.34%,2.042276423
9/30/2013,1327,233.544,5.682012811,46.24164,13.14%,2.35%,10.54%,2.085899514
10/31/2013,1323.7,233.669,5.664850708,44.39487,13.16%,2.37%,10.54%,2.080043267
11/29/2013,1250.4,234.1,5.341307134,40.70165,12.13%,2.38%,9.52%,2.151351351
12/31/2013,1202.3,234.719,5.12229517,37.17174,11.19%,2.38%,8.61%,2.243126685
1/31/2014,1239.8,235.288,5.269287001,38.22615,11.90%,2.36%,9.31%,2.162640902
2/28/2014,1321.6,235.547,5.610769825,41.19774,12.79%,2.35%,10.19%,2.125334762
3/31/2014,1283.8,236.028,5.439185181,40.33639,11.60%,2.35%,9.04%,2.289150187
4/30/2014,1295.9,236.468,5.480234112,39.4724,12.83%,2.35%,10.24%,2.067769477
5/30/2014,1246,236.918,5.259203606,38.13916,12.18%,2.33%,9.62%,2.098299681
6/30/2014,1322,237.231,5.572627523,40.84281,12.90%,2.30%,10.35%,2.080465855
7/31/2014,1282.8,237.498,5.401308643,39.87107,12.54%,2.30%,10.00%,2.081967213
8/29/2014,1287.4,237.46,5.421544681,39.73899,12.06%,2.30%,9.54%,2.179704017
9/30/2014,1211.6,237.477,5.10196777,36.20944,11.17%,2.27%,8.70%,2.214963119
10/31/2014,1171.6,237.43,4.934507013,33.99673,10.56%,2.21%,8.17%,2.250524109
11/28/2014,1175.5,236.983,4.960271412,32.97308,10.00%,2.14%,7.69%,2.364110589
12/31/2014,1184.1,236.252,5.012021062,33.06618,10.45%,2.11%,8.16%,2.286906625
1/30/2015,1279.2,234.747,5.449270917,38.25076,11.67%,2.05%,9.43%,2.213465553
2/27/2015,1213.1,235.342,5.154626034,36.46872,10.73%,2.04%,8.53%,2.274428274
3/31/2015,1183.2,235.976,5.014069227,34.33902,10.62%,2.03%,8.43%,2.232522009
4/30/2015,1182.4,236.222,5.005460965,34.40365,10.49%,2.00%,8.32%,2.251419721
5/29/2015,1189.8,237.001,5.020231982,33.74856,11.00%,2.04%,8.78%,2.163739669
6/30/2015,1171.8,237.657,4.930635327,33.12849,10.36%,2.07%,8.13%,2.256582344
7/31/2015,1095.1,238.034,4.600603275,29.40603,9.65%,2.02%,7.48%,2.236018471
8/31/2015,1132.5,238.033,4.757743674,30.80783,9.96%,1.96%,7.85%,2.234064253
9/30/2015,1115.2,237.498,4.695618489,30.41613,8.97%,1.79%,7.05%,2.375754527
10/30/2015,1141.4,237.733,4.801184522,31.31904,9.35%,1.79%,7.43%,2.345052737
11/30/2015,1065.3,238.017,4.475730725,27.8421,7.89%,1.85%,5.92%,2.517415447
12/31/2015,1060.2,237.761,4.459099684,27.09296,7.41%,1.84%,5.46%,2.619384149
1/29/2016,1116.4,237.652,4.697625099,30.02933,6.85%,1.78%,4.99%,2.887606623
2/29/2016,1234.4,237.336,5.201065157,38.56689,8.15%,1.76%,6.28%,2.827983952
3/31/2016,1235.6,238.08,5.189852151,39.7855,7.73%,1.77%,5.86%,2.93790686
4/29/2016,1290.5,238.992,5.399762335,41.26103,7.02%,1.76%,5.17%,3.261086198
5/31/2016,1217.5,239.557,5.082297741,41.64192,6.49%,1.76%,4.66%,3.224043716
6/30/2016,1320.6,240.222,5.497414891,49.30182,7.92%,1.76%,6.06%,3.052527255
7/29/2016,1357.5,240.101,5.653870663,51.12587,7.70%,1.70%,5.90%,3.18777723
8/31/2016,1311.4,240.545,5.451786568,49.11717,7.54%,1.67%,5.77%,3.111874387
9/30/2016,1317.1,241.176,5.461156997,49.72621,8.10%,1.75%,6.25%,2.979289941
10/31/2016,1273.1,241.741,5.266380134,48.2384,7.69%,1.82%,5.77%,3.005448242
11/30/2016,1173.9,242.026,4.850305339,40.92789,6.04%,1.82%,4.14%,3.232178218
12/30/2016,1151.7,242.637,4.746596768,37.6523,6.08%,1.79%,4.21%,3.1413097
1/31/2017,1211.4,243.618,4.972538975,38.94961,6.29%,1.82%,4.40%,3.233924999
2/28/2017,1253.9,244.006,5.138808062,41.98182,6.43%,1.80%,4.55%,3.292920588
3/31/2017,1251.2,243.892,5.13013957,41.37818,6.46%,1.74%,4.64%,3.258836366
4/28/2017,1268.3,244.193,5.193842575,43.14289,6.38%,1.72%,4.58%,3.31950812
5/31/2017,1275.4,244.004,5.226963492,42.83316,6.70%,1.67%,4.95%,3.22458949
6/30/2017,1242.3,244.163,5.087994495,42.39661,6.68%,1.65%,4.94%,3.140893869
7/31/2017,1273.4,244.243,5.213660166,40.9399,6.49%,1.64%,4.77%,3.272110711
8/31/2017,1322.2,245.183,5.392706672,43.97998,6.85%,1.67%,5.09%,3.283622338
9/29/2017,1284.8,246.435,5.213545154,44.97258,5.53%,1.68%,3.78%,3.596311623
10/31/2017,1270.5,246.626,5.151524981,44.31293,4.80%,1.66%,3.08%,3.80180697
11/30/2017,1276.7,247.284,5.162889633,44.3097,4.93%,1.61%,3.27%,3.742754964
12/29/2017,1309.3,247.805,5.283589919,45.2615,4.56%,1.60%,2.92%,3.963205562
1/31/2018,1343.1,248.859,5.397032054,47.6813,3.77%,1.61%,2.12%,4.373768699
2/28/2018,1317.9,249.529,5.281550441,46.475,3.06%,1.61%,1.43%,4.584201197
3/30/2018,1327.3,249.577,5.318198392,47.6456,3.72%,1.58%,2.11%,4.317210749
4/30/2018,1319.2,250.227,5.272013012,48.9999,4.31%,1.58%,2.69%,4.043619299
5/31/2018,1304.7,250.792,5.202319053,47.3083,3.88%,1.54%,2.30%,4.142503996
6/29/2018,1254.5,251.018,4.997649571,43.7938,3.06%,1.45%,1.59%,4.268772159
7/31/2018,1233.6,251.214,4.910554348,41.8206,2.95%,1.38%,1.54%,4.212934215
8/31/2018,1206.7,251.663,4.794904297,39.2631,3.75%,1.41%,2.30%,3.819104669
9/28/2018,1196.2,252.182,4.743399608,38.6824,3.11%,1.43%,1.66%,4.024177963
10/31/2018,1215,252.772,4.806703274,40.1695,5.40%,1.54%,3.80%,3.309753681
11/30/2018,1226,252.594,4.853638645,40.5876,4.12%,1.71%,2.36%,3.842310453
12/31/2018,1281.3,252.767,5.069095254,44.0258,3.78%,1.80%,1.94%,4.183104854
1/31/2019,1325.2,252.718,5.24378952,47.3624,3.62%,1.78%,1.81%,4.380629727
2/28/2019,1316.1,253.322,5.195364003,45.7278,3.40%,1.76%,1.60%,4.431019487
3/29/2019,1298.5,254.202,5.108142343,45.0974,3.45%,1.81%,1.61%,4.353043601
4/30/2019,1285.7,255.211,5.037792258,42.997,3.73%,1.84%,1.86%,4.189761599
5/31/2019,1311.1,255.29,5.135727996,43.0887,2.95%,1.83%,1.10%,4.601872107
6/28/2019,1413.7,255.159,5.540466925,49.3943,4.31%,1.74%,2.52%,4.317705666
7/31/2019,1437.8,255.685,5.623325576,51.3624,4.17%,1.76%,2.36%,4.451254156
8/30/2019,1529.4,256.059,5.972842197,59.003,4.84%,1.74%,3.04%,4.425723503
9/30/2019,1472.9,256.511,5.742053947,59.8385,3.85%,1.74%,2.08%,4.675694081
10/31/2019,1514.8,257.244,5.888572717,61.8358,3.83%,1.74%,2.05%,4.805342965
11/29/2019,1472.7,257.803,5.712501406,58.9857,2.22%,1.73%,0.49%,5.442518206
12/31/2019,1523.1,258.616,5.889426795,61.1319,3.34%,1.75%,1.56%,5.043547875
1/31/2020,1587.9,259.037,6.130012315,65.0326,3.89%,1.76%,2.09%,4.983263444
2/28/2020,1566.7,259.248,6.043248164,66.5058,3.42%,1.78%,1.61%,5.149552883
3/31/2020,1596.6,258.124,6.185399265,68.7478,3.66%,1.73%,1.89%,5.127603484
4/30/2020,1694.2,256.092,6.615591272,80.2398,3.68%,1.65%,1.99%,5.430927816
5/29/2020,1751.7,255.868,6.84610815,87.1441,3.73%,1.65%,2.04%,5.591605688
6/30/2020,1800.5,256.986,7.006218238,93.57,3.75%,1.70%,2.02%,5.736214255
7/31/2020,1985.9,258.278,7.689001773,110.01,5.31%,1.73%,3.52%,5.440591898
8/31/2020,1978.6,259.411,7.62727872,111.1214,4.70%,1.76%,2.89%,5.737347595
9/30/2020,1895.5,260.029,7.289571548,108.3541,3.77%,1.77%,1.97%,5.999770931
10/30/2020,1879.9,260.286,7.222439931,107.6763,3.31%,1.74%,1.54%,6.198096195
11/30/2020,1780.9,260.813,6.828263929,98.3856,2.54%,1.74%,0.79%,6.312218225
12/31/2020,1895.1,262.035,7.232239968,103.6563,2.92%,1.74%,1.16%,6.44707718
1/29/2021,1850.3,262.65,7.044736341,99.8272,3.32%,1.73%,1.56%,6.033356391
2/26/2021,1728.8,263.638,6.55747654,89.4957,2.06%,1.74%,0.32%,6.353820224
3/31/2021,1715.6,264.914,6.47606393,84.5759,1.77%,1.74%,0.03%,6.45561902
4/30/2021,1767.7,266.67,6.62879214,86.0037,1.28%,1.75%,-0.47%,6.945330733
5/31/2021,1905.3,268.444,7.097569698,94.5085,2.17%,1.79%,0.38%,6.836116474
6/30/2021,1771.6,270.559,6.547924852,88.2037,1.66%,1.87%,-0.21%,6.684874959
7/30/2021,1817.2,271.764,6.686684035,89.3116,1.09%,1.89%,-0.79%,7.237072695
8/31/2021,1818.1,272.87,6.66287976,87.2276,-0.07%,1.90%,-1.94%,8.101067641
9/30/2021,1757,274.028,6.411753543,83.9919,0.80%,1.92%,-1.10%,7.159406347
10/29/2021,1783.9,276.522,6.451204606,84.6551,0.34%,2.00%,-1.64%,7.608379272
11/30/2021,1776.5,278.711,6.373985957,84.801,0.15%,2.07%,-1.88%,7.704836487
12/31/2021,1828.6,280.887,6.510091247,86.2749,1.56%,2.14%,-0.57%,6.89542872
1/31/2022,1796.4,282.599,6.356710392,87.2417,0.32%,2.18%,-1.82%,7.638626768
2/28/2022,1900.7,284.61,6.678261481,93.7894,1.06%,2.23%,-1.15%,7.494886764
3/31/2022,1954,287.472,6.797183726,100.081,1.57%,2.31%,-0.72%,7.30703169
4/29/2022,1911.7,288.611,6.623794658,98.4316,1.40%,2.33%,-0.91%,7.261319359
5/31/2022,1848.4,291.268,6.346045566,93.6297,1.68%,2.45%,-0.75%,6.839139008
6/30/2022,1807.3,294.728,6.132094677,90.6192,1.20%,2.58%,-1.34%,7.019831615
7/29/2022,1781.8,294.628,6.047626159,85.2969075,0.99%,2.57%,-1.54%,7.063301107
8/31/2022,1726.2,295.32,5.845184884,80.736282,0.23%,2.53%,-2.25%,7.340008177
9/30/2022,1672,296.539,5.638381461,75.730311,-0.59%,2.53%,-3.04%,7.678722161
10/31/2022,1640.7,297.987,5.50594489,72.320576,-0.47%,2.55%,-2.94%,7.421493883
11/30/2022,1759.9,298.598,5.893877387,77.359856,0.27%,2.59%,-2.26%,7.406302298
12/30/2022,1826.2,298.99,6.107896585,80.0798455,0.86%,2.60%,-1.70%,7.247611592
1/31/2023,1945.3,300.536,6.472768653,84.868333,1.59%,2.64%,-1.02%,7.173718809
2/28/2023,1836.7,301.648,6.088885058,79.806293,1.53%,2.62%,-1.06%,6.774793184
3/31/2023,1986.2,301.808,6.581005142,86.9479875,2.21%,2.65%,-0.43%,6.869667043
4/28/2023,1999.1,302.918,6.599475766,88.1881695,3.11%,2.71%,0.38%,6.350815584
5/31/2023,1982.1,303.294,6.535243032,88.009232,3.59%,2.72%,0.85%,6.007080852
6/30/2023,1929.4,303.294,6.361484236,84.5878445,4.66%,2.70%,1.91%,5.264471165
